Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),213112311,21311231,"Cannabis vegetative plants, prepared for retail sale, for medical use","Plants végétatifs de cannabis, préparés pour la vente au détail, pour usage médical","Cannabis vegetative or live plants of various strain types, mainly used for planting or cultivation, and propagation of cannabis bred to contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD, prepared for retail sale, for medical use. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner.","Plants végétatifs ou vivants de cannabis de diverses souches, généralement utilisés pour le plantage ou la culture, et la multiplication du cannabis sélectionné pour contenir des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD, préparés pour la vente au détail, pour usage médical. Pour obtenir le cannabis pour usage médical, un patient ou client a généralement besoin de s'enregistrer auprès d'une autorité gouvernementale et d'un titulaire d'une licence de vente de cannabis à des fins médicales, et d'obtenir une autorisation (document médical et commande écrite) d'un praticien de la santé autorisé."
2,Class (five-digit standard codes or six-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six caractères alphanumériques),21312,213A,Fresh and dried cannabis flowering tops (including leaves),Sommités fleuries de cannabis fraîches et séchées (y compris les feuilles),"This class comprises freshly harvested and dried cannabis flowering tops, including leaves, for non-medical and medical uses. They contain cannabinoids, in particular THC (more than 0.3% w/w) and CBD. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process. Dried cannabis (also called marijuana, pot or weed) refers to harvested cannabis fresh flowering tops and leaves that have been subjected to drying and irradiation processes, but not further processed.","Cette classe comprend les sommités fleuries de cannabis fraîchement récoltées et séchées, y compris les feuilles, pour usages non médical et médical. Elles contiennent des cannabinoïdes, en particulier le THC (plus de 0,3 % p/p) et le CBD. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage. Le cannabis séché (aussi appelé marijuana ou pot) réfère aux sommités fleuries et feuilles fraîchement récoltées qui ont été soumises à des processus de séchage et de radioexposition, mais n'ayant pas subi de transformation supplémentaire."
3,Subclass (six-digit standard codes),Sous-classe (codes types à six chiffres),213121,21312,Fresh cannabis flowering tops (including leaves),Sommités fleuries de cannabis fraîches (y compris les feuilles),"This subclass comprises freshly harvested cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk or prepared for retail sale, for non-medical and medical uses. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process.","Cette sous-classe comprend les sommités fleuries de cannabis fraîchement récoltées, y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, en vrac ou préparées pour la vente au détail, pour usages non médical et médical. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),2131211,213121,"Fresh cannabis flowering tops (including leaves), in bulk","Sommités fleuries de cannabis fraîches (y compris les feuilles), en vrac","Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk, not prepared or packaged for retail sale. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process.","Sommités fleuries de cannabis fraîches, y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, en vrac, non préparées ou emballées pour la vente au détail. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21312111,2131211,"Fresh cannabis flowering tops (including leaves), in bulk","Sommités fleuries de cannabis fraîches (y compris les feuilles), en vrac","Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk, not prepared or packaged for retail sale. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process.","Sommités fleuries de cannabis fraîches, y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, en vrac, non préparées ou emballées pour la vente au détail. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),213121111,21312111,"Fresh cannabis flowering tops (including leaves), in bulk","Sommités fleuries de cannabis fraîches (y compris les feuilles), en vrac","Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, in bulk, not prepared or packaged for retail sale. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process.","Sommités fleuries de cannabis fraîches, y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, en vrac, non préparées ou emballées pour la vente au détail. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),2131212,213121,"Fresh cannabis flowering tops (including leaves), prepared for retail sale, for non-medical use","Sommités fleuries de cannabis fraîches (y compris les feuilles), préparées pour la vente au détail, pour usage non médical","Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for non-medical use. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process.","Sommités fleuries de cannabis fraîches, y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, préparées pour la vente au détail, pour usage non médical. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage."
5,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),21312121,2131212,"Fresh cannabis flowering tops (including leaves), prepared for retail sale, for non-medical use","Sommités fleuries de cannabis fraîches (y compris les feuilles), préparées pour la vente au détail, pour usage non médical","Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for non-medical use. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process.","Sommités fleuries de cannabis fraîches, y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, préparées pour la vente au détail, pour usage non médical. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage."
6,Detail (nine-digit variant codes),Détail (codes de variante à neuf chiffres),213121211,21312121,"Fresh cannabis flowering tops (including leaves), prepared for retail sale, for non-medical use","Sommités fleuries de cannabis fraîches (y compris les feuilles), préparées pour la vente au détail, pour usage non médical","Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for non-medical use. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process.","Sommités fleuries de cannabis fraîches, y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, préparées pour la vente au détail, pour usage non médical. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage."
4,Detail (seven-digit standard codes),Détail (codes types à sept chiffres),2131213,213121,"Fresh cannabis flowering tops (including leaves), prepared for retail sale, for medical use","Sommités fleuries de cannabis fraîches (y compris les feuilles), préparées pour la vente au détail, pour usage médical","Fresh cannabis flowering tops, including leaves, containing more than 0.3% w/w of THC, cannabidiol (CBD) and other cannabinoids, prepared for retail sale, for medical use. Fresh cannabis refers to fresh or water-rich flowering tops (buds) and leaves, of female plants, that have not been subjected to any drying process. To obtain cannabis for medical use, a patient or client generally needs to register with a governmental authority and a holder of a licence for sale of cannabis for medical purposes, and get an authorization (medical document and written order) from an authorized health care practitioner.","Sommités fleuries de cannabis fraîches y compris les feuilles, contenant plus de 0,3 % p/p de THC, du cannabidiol (CBD) et d'autres cannabinoïdes, préparées pour la vente au détail, pour usage médical. Le cannabis frais réfère aux sommités fleuries (bourgeons) et feuilles fraîches ou riches en eau, de plants femelles, qui n'ont subi aucun processus de séchage. Pour obtenir le cannabis pour usage médical, un patient ou client a généralement besoin de s'enregistrer auprès d'une autorité gouvernementale et d'un titulaire d'une licence de vente de cannabis à des fins médicales, et d'obtenir une autorisation (document médical et commande écrite) d'un praticien de la santé autorisé."
