Level,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11511AB,115AC,Canary seeds,Graines de l'alpiste des Canaries,This class comprises canary seeds.,Cette classe comprend les graines de l'alpiste des Canaries.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),115115AB,11511AB,Canary seeds,Graines de l'alpiste des Canaries,This subclass comprises canary seeds.,Cette sous-classe comprend les graines de l'alpiste des Canaries.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1151155A,115115AB,Canary seeds,Graines de l'alpiste des Canaries,Canary seeds.,Graines de l'alpiste des Canaries.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11511555,1151155A,Canary seeds,Graines de l'alpiste des Canaries,Canary seeds.,Graines de l'alpiste des Canaries.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11512AB,115AC,Sunflower seeds,Graines de tournesol,This class comprises unprocessed sunflower seeds.,Cette classe comprend les graines de tournesol non transformées.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),115122AB,11512AB,Sunflower seeds,Graines de tournesol,This subclass comprises unprocessed sunflower seeds.,Cette sous-classe comprend les graines de tournesol non transformées.
5,Detail (seven-digit standard codes or eight-character alphanumeric variant codes),Détail (codes types à sept chiffres ou codes de variante à huit caractères alphanumériques),1151223,115122AB,Sunflower seeds,Graines de tournesol,Unprocessed sunflower seeds.,Graines de tournesol non transformées.
6,Detail (eight-digit variant codes),Détail (codes de variante à huit chiffres),11512231,1151223,Sunflower seeds,Graines de tournesol,Unprocessed sunflower seeds.,Graines de tournesol non transformées.
3,Class (five-digit standard codes or six or seven-character alphanumeric variant codes),Classe (codes types à cinq chiffres ou codes de variante à six ou sept caractères alphanumériques),11513A,115AC,Mustard seeds,Graines de moutarde,This class comprises unprocessed mustard seeds.,Cette classe comprend les graines de moutarde non transformées.
4,Subclass (six-digit standard codes or seven or eight-character alphanumeric variant codes),Sous-classe (codes types à six chiffres ou codes de variante à sept ou huit caractères alphanumériques),115139A,11513A,Mustard seeds,Graines de moutarde,This subclass comprises unprocessed mustard seeds.,Cette sous-classe comprend les graines de moutarde non transformées.
