Level/Niveau,Hierarchical structure,Structure hiérarchique,Code,Parent ,Class title,Titres de classes,Class definition,Définitions de la classe
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183221,18322,Chocolate and chocolate-type confectionery products,Produits de confiseries au chocolat et du type au chocolat,This subclass comprises chocolate and chocolate-type confectionery products.,Cette sous-classe comprend les produits de confiseries au chocolat et du type au chocolat.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1832211,183221,Chocolate and chocolate-type confectionery products,Produits de confiseries au chocolat et du type au chocolat,Chocolate and chocolate-type confectionery products.,Produits de confiseries au chocolat et du type au chocolat.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183222,18322,Non-chocolate confectionery products,Produits de confiseries non chocolatées,This subclass comprises non-chocolate confectionery products.,Cette sous-classe comprend les produits de confiseries non chocolatées.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1832221,183222,Non-chocolate confectionery products,Produits de confiseries non chocolatées,Non-chocolate confectionery products.,Produits de confiseries non chocolatées.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183223,18322,Chewing gum and bubble gum,Gomme à mâcher et gomme à claquer,This subclass comprises chewing gum and bubble gum.,Cette sous-classe comprend la gomme à mâcher et la gomme à claquer.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1832231,183223,Chewing gum and bubble gum,Gomme à mâcher et gomme à claquer,Chewing gum and bubble gum.,Gomme à mâcher et gomme à claquer.
4,Class (five-digit codes),Classe (codes à cinq chiffres),18331,183,Snack food products,Aliments à grignoter,This class comprises snack food products.,Cette classe comprend les aliments à grignoter.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183311,18331,Potato chips,Croustilles,This subclass comprises potato chips.,Cette sous-classe comprend les croustilles.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1833111,183311,Potato chips,Croustilles,Potato chips.,Croustilles.
5,Subclass (six-digit codes),Sous-classe (codes à six chiffres),183312,18331,Nuts and other snack foods (except potato chips),Noix et autres aliments à grignoter (sauf les croustilles),"This subclass comprises nuts and other snack foods, except potato chips.","Cette sous-classe comprend les noix et les autres aliments à grignoter, sauf les croustilles."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1833121,183312,Processed nuts and seeds,Noix et graines transformées,"Nuts and seeds that have been processed by salting, roasting, cooking or blanching.","Noix et graines transformées par salage, grillage, cuisson ou blanchiment."
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1833122,183312,Corn-based snacks,Collations à base de maïs,Corn-based snacks.,Collations à base de maïs.
6,Detail (seven-digit codes),Détail (codes à sept chiffres),1833123,183312,Snack foods n.e.c.,Aliments à grignoter n.c.a.,Snack foods n.e.c.,Aliments à grignoter n.c.a.
