Level,Hierarchical structure,Code,Parent,Code title,Superscript,Code definition
4,Detail,1311312,131131,"Rough untreated poles, posts and piling of hardwood",,"Rough untreated poles, posts and piling of hardwood."
1,Group,141,,Crude oil and bitumen,,"This group comprises conventional crude oil, crude and diluted bitumen, and synthetic crude oil."
2,Class,14111,141,Conventional crude oil,,This class comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.
3,Subclass,141111,14111,Conventional crude oil,,This subclass comprises crude oil (a mixture of hydrocarbons in liquid phase) extracted by conventional methods from underground reservoirs.
4,Detail,1411111,141111,Light and medium crude oil,,Light and medium crude oil with a density equal to or less than 875.7 kg/m³ (30.1°API).
4,Detail,1411112,141111,Heavy crude oil,,Heavy crude oil with a density greater than 875.7 kg/m³ (30.1°API).
2,Class,14112,141,Crude and diluted bitumen,,This class comprises crude bitumen and bitumen mixed with diluents.
3,Subclass,141121,14112,Crude and diluted bitumen,,This subclass comprises crude bitumen and bitumen mixed with diluents.
4,Detail,1411211,141121,Crude bitumen,,Semi solid form of crude oil that does not flow unless it is heated or diluted with lighter hydrocarbons.
4,Detail,1411212,141121,Diluted bitumen,,Crude bitumen that has been diluted so that it can be transported by pipeline.
2,Class,14113,141,Synthetic crude oil,,"This class comprises synthetic crude oil, which refers to an intermediate product that is a mixture of hydrocarbons derived from the upgrading of crude bitumen into a transportable liquid form. Synthetic crude oil contains very little sulfur (less than 0.2% by weight) compared to other light crude oils due to its processing, and has a density between 834.8 and 870.8 kg/m³ (31.0°API to 38.0°API)."
3,Subclass,141131,14113,Synthetic crude oil,,"This subclass comprises synthetic crude oil, which refers to an intermediate product that is a mixture of hydrocarbons derived from the upgrading of crude bitumen into a transportable liquid form. Synthetic crude oil contains very little sulfur (less than 0.2% by weight) compared to other light crude oils due to its processing, and has a density between 834.8 and 870.8 kg/m³ (31.0°API to 38.0°API)."
4,Detail,1411311,141131,Synthetic crude oil,,"Synthetic crude oil, which refers to an intermediate product that is a mixture of hydrocarbons derived from the upgrading of crude bitumen into a transportable liquid form. Synthetic crude oil contains very little sulfur (less than 0.2% by weight) compared to other light crude oils due to its processing, and has a density between 834.8 and 870.8 kg/m³ (31.0°API to 38.0°API)."
