profile_id,business_type_id,naics_code,geography_code,incorporation_status_code,revenue_band,distribution,data_suppressed,partial_suppression
ISED_2024_cabinet_shop_48_2_30k_5m_total_revenue,cabinet_shop,337110,48,2,30k_5m,total_revenue,False,False
ISED_2024_cabinet_shop_48_2_30k_5m_profit_margin,cabinet_shop,337110,48,2,30k_5m,profit_margin,False,False
ISED_2024_cabinet_shop_48_3_30k_5m_total_revenue,cabinet_shop,337110,48,3,30k_5m,total_revenue,False,False
ISED_2024_cabinet_shop_48_3_30k_5m_profit_margin,cabinet_shop,337110,48,3,30k_5m,profit_margin,False,True
ISED_2024_landscaping_company_00_1_30k_5m_total_revenue,landscaping_company,561730,00,1,30k_5m,total_revenue,False,False
ISED_2024_landscaping_company_00_1_30k_5m_profit_margin,landscaping_company,561730,00,1,30k_5m,profit_margin,False,False
ISED_2024_landscaping_company_00_2_30k_5m_total_revenue,landscaping_company,561730,00,2,30k_5m,total_revenue,False,False
ISED_2024_landscaping_company_00_2_30k_5m_profit_margin,landscaping_company,561730,00,2,30k_5m,profit_margin,False,False
ISED_2024_landscaping_company_00_3_30k_5m_total_revenue,landscaping_company,561730,00,3,30k_5m,total_revenue,False,False
ISED_2024_landscaping_company_00_3_30k_5m_profit_margin,landscaping_company,561730,00,3,30k_5m,profit_margin,False,True
ISED_2024_landscaping_company_48_1_30k_5m_total_revenue,landscaping_company,561730,48,1,30k_5m,total_revenue,False,False
ISED_2024_landscaping_company_48_1_30k_5m_profit_margin,landscaping_company,561730,48,1,30k_5m,profit_margin,False,False
ISED_2024_landscaping_company_48_2_30k_5m_total_revenue,landscaping_company,561730,48,2,30k_5m,total_revenue,False,False
ISED_2024_landscaping_company_48_2_30k_5m_profit_margin,landscaping_company,561730,48,2,30k_5m,profit_margin,False,False
ISED_2024_landscaping_company_48_3_30k_5m_total_revenue,landscaping_company,561730,48,3,30k_5m,total_revenue,False,False
ISED_2024_landscaping_company_48_3_30k_5m_profit_margin,landscaping_company,561730,48,3,30k_5m,profit_margin,False,True
ISED_2024_software_publisher_00_1_30k_5m_total_revenue,software_publisher,513211,00,1,30k_5m,total_revenue,False,False
