naics_code,description_en,description_fr,year
3253,"Pesticide, fertilizer and other agricultural chemical manufacturing","Fabrication de pesticides, d'engrais et d'autres produits chimiques agricoles",2024
3254,Pharmaceutical and medicine manufacturing,Fabrication de produits pharmaceutiques et de médicaments,2024
3255,"Paint, coating and adhesive manufacturing","Fabrication de peintures, de revêtements et d'adhésifs",2024
3256,"Soap, cleaning compound and toilet preparation manufacturing","Fabrication de savons, de détachants et de produits de toilette",2024
3259,Other chemical product manufacturing,Fabrication d'autres produits chimiques,2024
3261,Plastic product manufacturing,Fabrication de produits en plastique,2024
3262,Rubber product manufacturing,Fabrication de produits en caoutchouc,2024
3271,Clay product and refractory manufacturing,Fabrication de produits en argile et produits réfractaires,2024
3272,Glass and glass product manufacturing,Fabrication de verre et de produits en verre,2024
3273,Cement and concrete product manufacturing,Fabrication de ciment et de produits en béton,2024
3274,Lime and gypsum product manufacturing,Fabrication de chaux et de produits en gypse,2024
3279,Other non-metallic mineral product manufacturing,Fabrication d'autres produits minéraux non métalliques,2024
3311,Iron and steel mills and ferro-alloy manufacturing,Sidérurgie,2024
3312,Steel product manufacturing from purchased steel,Fabrication de produits en acier à partir d'acier acheté,2024
3313,Alumina and aluminum production and processing,Production et transformation d'alumine et d'aluminium,2024
3314,Non-ferrous metal (except aluminum) production and processing,Production et transformation de métaux non ferreux (sauf l'aluminium),2024
3315,Foundries,Fonderies,2024
3321,Forging and stamping,Forgeage et estampage,2024
3322,Cutlery and hand tool manufacturing,Fabrication de coutellerie et d'outils à main,2024
3323,Architectural and structural metals manufacturing,Fabrication de produits d'architecture et d'éléments de charpentes métalliques,2024
3324,"Boiler, tank and shipping container manufacturing","Fabrication de chaudières, de réservoirs et de contenants d'expédition",2024
3325,Hardware manufacturing,Fabrication d'articles de quincaillerie,2024
3326,Spring and wire product manufacturing,Fabrication de ressorts et de produits en fil métallique,2024
3327,"Machine shops, turned product, and screw, nut and bolt manufacturing","Ateliers d'usinage, fabrication de produits tournés, de vis, d'écrous et de boulons",2024
3328,"Coating, engraving, cold and heat treating and allied activities","Revêtement, gravure, traitement thermique et par le froid, et activités analogues",2024
3329,Other fabricated metal product manufacturing,Fabrication d'autres produits métalliques,2024
3331,"Agricultural, construction and mining machinery manufacturing","Fabrication de machines pour l'agriculture, la construction et l'extraction minière",2024
3332,Industrial machinery manufacturing,Fabrication de machines industrielles,2024
3333,Commercial and service industry machinery manufacturing,Fabrication de machines pour le commerce et les industries de services,2024
3334,"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing","Fabrication d'appareils de ventilation, de chauffage, de climatisation et de réfrigération commerciale",2024
3335,Metalworking machinery manufacturing,Fabrication de machines-outils pour le travail du métal,2024
3336,"Engine, turbine and power transmission equipment manufacturing","Fabrication de moteurs, de turbines et de matériel de transmission de puissance",2024
3339,Other general-purpose machinery manufacturing,Fabrication d'autres machines d'usage général,2024
3341,Computer and peripheral equipment manufacturing,Fabrication de matériel informatique et périphérique,2024
3342,Communications equipment manufacturing,Fabrication de matériel de communication,2024
3343,Audio and video equipment manufacturing,Fabrication de matériel audio et vidéo,2024
3344,Semiconductor and other electronic component manufacturing,Fabrication de semi-conducteurs et d'autres composants électroniques,2024
3345,"Navigational, measuring, medical and control instruments manufacturing","Fabrication d'instruments de navigation, de mesure et de commande et d'instruments médicaux",2024
3346,Manufacturing and reproducing magnetic and optical media,Fabrication et reproduction de supports magnétiques et optiques,2024
3351,Electric lighting equipment manufacturing,Fabrication de matériel électrique d'éclairage,2024
3352,Household appliance manufacturing,Fabrication d'appareils ménagers,2024
3353,Electrical equipment manufacturing,Fabrication de matériel électrique,2024
3359,Other electrical equipment and component manufacturing,Fabrication d'autres types de matériel et de composants électriques,2024
3361,Motor vehicle manufacturing,Fabrication de véhicules automobiles,2024
3362,Motor vehicle body and trailer manufacturing,Fabrication de carrosseries et de remorques de véhicules automobiles,2024
3363,Motor vehicle parts manufacturing,Fabrication de pièces pour véhicules automobiles,2024
3364,Aerospace product and parts manufacturing,Fabrication de produits aérospatiaux et de leurs pièces,2024
3365,Railroad rolling stock manufacturing,Fabrication de matériel ferroviaire roulant,2024
3366,Ship and boat building,Construction de navires et d'embarcations,2024
3369,Other transportation equipment manufacturing,Fabrication d'autres types de matériel de transport,2024
3371,Household and institutional furniture and kitchen cabinet manufacturing,Fabrication de meubles de maison et d'établissement institutionnel et d'armoires de cuisine,2024
3372,Office furniture (including fixtures) manufacturing,Fabrication de meubles de bureau (y compris les articles d'ameublement),2024
3379,Other furniture-related product manufacturing,Fabrication d'autres produits connexes aux meubles,2024
3391,Medical equipment and supplies manufacturing,Fabrication de fournitures et de matériel médicaux,2024
3399,Other miscellaneous manufacturing,Autres activités diverses de fabrication,2024
4111,Farm product merchant wholesalers,Grossistes-marchands de produits agricoles,2024
4121,"Petroleum, petroleum products, and other hydrocarbons merchant wholesalers","Grossistes-marchands de pétrole, de produits pétroliers, et d'autres hydrocarbures",2024
4131,Food merchant wholesalers,Grossistes-marchands de produits alimentaires,2024
4132,Beverage merchant wholesalers,Grossistes-marchands de boissons,2024
4133,Cigarette and tobacco product merchant wholesalers,Grossistes-marchands de cigarettes et de produits du tabac,2024
4134,Cannabis merchant wholesalers,Grossistes-marchands de cannabis,2024
4141,"Textile, clothing and footwear merchant wholesalers","Grossistes-marchands de textiles, de vêtements et de chaussures",2024
4142,Home entertainment equipment and household appliance merchant wholesalers,Grossistes-marchands de matériel de divertissement au foyer et d'appareils ménagers,2024
4143,Home furnishings merchant wholesalers,Grossistes-marchands d'accessoires de maison,2024
4144,Personal goods merchant wholesalers,Grossistes-marchands d'articles personnels,2024
4145,"Pharmaceuticals, toiletries, cosmetics and sundries merchant wholesalers","Grossistes-marchands de produits pharmaceutiques, d'articles de toilette, de cosmétiques et d'articles divers",2024
4151,Motor vehicle merchant wholesalers,Grossistes-marchands de véhicules automobiles,2024
4152,New motor vehicle parts and accessories merchant wholesalers,Grossistes-marchands de pièces et d'accessoires neufs pour véhicules automobiles,2024
4153,Used motor vehicle parts and accessories merchant wholesalers,Grossistes-marchands de pièces et d'accessoires d'occasion pour véhicules automobiles,2024
4161,"Electrical, plumbing, heating and air-conditioning equipment and supplies merchant wholesalers","Grossistes-marchands de matériel et fournitures électriques, de plomberie, de chauffage et de climatisation",2024
4162,Metal service centres,Grossistes-distributeurs de métaux et de produits métalliques,2024
4163,"Lumber, millwork, hardware and other building supplies merchant wholesalers","Grossistes-marchands de bois d'oeuvre, de menuiseries préfabriquées, d'articles de quincaillerie et d'autres fournitures de construction",2024
4171,"Farm, lawn and garden machinery and equipment merchant wholesalers","Grossistes-marchands de machines et matériel pour l'agriculture, l'entretien des pelouses et le jardinage",2024
4172,"Construction, forestry, mining, and industrial machinery, equipment and supplies merchant wholesalers","Grossistes-marchands de machines, matériel et fournitures industriels et pour la construction, la foresterie et l'extraction minière",2024
4173,Computer and communications equipment and supplies merchant wholesalers,Grossistes-marchands d'ordinateurs et de matériel de communication,2024
4179,"Other machinery, equipment and supplies merchant wholesalers","Grossistes-marchands d'autres machines, matériel et fournitures",2024
4181,Recyclable material merchant wholesalers,Grossistes-marchands de matières recyclables,2024
4182,"Paper, paper product and disposable plastic product merchant wholesalers",Grossistes-marchands de papier et produits du papier et de produits en plastique jetables,2024
4183,Agricultural supplies merchant wholesalers,Grossistes-marchands de fournitures agricoles,2024
4184,Chemical (except agricultural) and allied product merchant wholesalers,Grossistes-marchands de produits chimiques et de produits analogues (sauf agricoles),2024
4185,"Mineral, ore and precious metal merchant wholesalers","Grossistes-marchands de minéraux, de minerais et de métaux précieux",2024
4186,"Log, wood chips, and other wood products merchant wholesalers","Grossistes-marchands de billes, copeaux et autres produits de bois",2024
4189,Other miscellaneous merchant wholesalers,Grossistes-marchands d'autres produits divers,2024
4191,"Business-to-business electronic markets, and agents and brokers","Commerce électronique de gros entre entreprises, et agents et courtiers",2024
4411,Automobile dealers,Concessionnaires d'automobiles,2024
