node_id,source_code,label,definition,children_codes
CA_NAPCS_2022_763,763,Other insurance services,This group comprises health and accident insurance products; vehicle and property insurance products; other non-life insurance products; reinsurance products; and insurance brokerage and other services related to insurance.,76311|76312|76313|76314|76321|76331
CA_NAPCS_2022_764,764,Real estate services,This group comprises residential rents; rooming and boarding services; non-residential rents; and real estate brokerage and other services related to real estate.,76411|76412|76421|76432
CA_NAPCS_2022_771,771,Legal and accounting services,"This group comprises legal services; and accounting, tax preparation, bookkeeping and payroll services.",77111|77121
CA_NAPCS_2022_772,772,"Architectural, engineering and related services",This group comprises architectural services; engineering services; surveying and mapping services; and other services related to architecture and engineering.,77211|77221|77231|77241
CA_NAPCS_2022_773,773,Specialized design services,"This group comprises interior design services; interior decorating services; industrial design services; graphic design services; and fashion, jewellery and footwear design services, and other design services n.e.c.",77311
CA_NAPCS_2022_774,774,Computer systems design and related services (except software development),"This group comprises computer network design and development services; computer systems design, development and integration services; information technology (IT) technical consulting services; and information technology (IT) technical support services.",77411
CA_NAPCS_2022_775,775,"Management, scientific and technical consulting services","This group comprises management consulting services; environmental consulting services; and other economic, scientific and technical consulting services.",77511|77512|77513
CA_NAPCS_2022_776,776,Other professional services,"This group comprises photographic services; veterinary services; and other professional, scientific and technical services.",77611|77612|77613
CA_NAPCS_2022_781,781,Administrative and support services,This group comprises office administrative services; employment services; business support services; security and investigation services; services for buildings and dwellings; and facilities and other support services.,78111|78112|78113|78121|78122|78123|78124
CA_NAPCS_2022_782,782,"Water, sewer and waste management services",This group comprises water delivered by water works and irrigation systems; sewage and dirty water disposal and cleaning services; and waste management and remediation services.,78211|78221|78231
CA_NAPCS_2022_811,811,Health services,"This group comprises various health practitioner services, and medical laboratory, hospital, ambulance and other health care services.",81111|81112|81121|81131|81141|81151|81161
CA_NAPCS_2022_812,812,"Residential and nursing care, social assistance, and child day-care services","This group comprises residential and nursing care, social assistance, and child day-care services.",81211|81221|81231
CA_NAPCS_2022_821,821,Education services,"This group comprises education, instruction, training programs and services. Also covers sports coaching services.",82111|82112|82113|82121|82131
CA_NAPCS_2022_831,831,Sport and live performance services,"This group comprises contract production of live performing arts performances, live sporting events, and copyrighted works; sport and performing arts event organization services; career management and representation services of artists, athletes, entertainers and other public figures.",83111|83121|83131
CA_NAPCS_2022_832,832,"Admissions to events, performances, exhibitions, and recreational and heritage institution services","This group comprises admissions to live sporting events, live performing arts performances and motion picture film exhibitions, as well as recreational services and heritage institution services.",83211|83221|83231|83241|83251
CA_NAPCS_2022_833,833,Gambling (net wagers),This group comprises lotteries; table wagering games; gambling machine products; racing and sporting event gambling products; and Internet gambling products.,83311
CA_NAPCS_2022_841,841,Prepared meals and beverages,This group comprises prepared meals; and alcoholic beverages for immediate consumption.,84111|84112
CA_NAPCS_2022_842,842,Traveller accommodation,This group comprises room or unit accommodation services for travellers; and recreational vehicle park and recreational camp services.,84211|84212
CA_NAPCS_2022_843,843,"Travel arrangement, reservation and planning services","This group comprises reservation services for passenger transportation, cruises, lodging, pre-packaged tours and events; event ticket sales and reservation services, and access to global distribution systems; trip planning services; packaged tours; and other travel arrangement and reservation services.",84311
CA_NAPCS_2022_851,851,Personal and personal care services,"This group comprises hair care and aesthetic services; funeral services; laundry, dry-cleaning and related services; parking services; and other personal and personal care services.",85111|85121|85131|85141|85151
CA_NAPCS_2022_852,852,Babysitting and other private household services,This group comprises babysitting services and private household services.,85211|85212
CA_NAPCS_2022_861,861,Membership organization services,"This group comprises provision of services by organizations to members, in exchange for membership dues and similar payments.",86111|86121|86131|86141
CA_NAPCS_2022_871,871,Public administration services,"This group comprises services of a governmental nature, that is, services related to the enactment and judicial interpretation of laws and their pursuant regulations, and the administration of programs based on them. Services provided by government that are not governmental in nature are classified to the same service categories as equivalent services provided by the private sector.",87111|87121|87131|87141|87151
