node_id,source_code,parent_code,label,definition,path_string,comparator_class_type,default_offer_template
CA_NAPCS_2022_7234131,7234131,723413,Pay-per-view services (except online streaming),"Providing services which enable subscribers to television programming packages, to watch a specific program (movie or event) at the same broadcast time, generally at a fixed device, for an additional fee, except using online streaming. The pay-per-view services are delivered using traditional cable and satellite television.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Pay-per-view services / Pay-per-view services (except online streaming)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234132,7234132,723413,Online streaming of pay-per-view programs,"Providing services over the Internet which enable subscribers to television programming packages, to watch a specific program (movie or event) at the same broadcast time, on a fixed or mobile device, using online streaming, for an additional fee.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Pay-per-view services / Online streaming of pay-per-view programs",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234141,7234141,723414,"Television, movie and video on demand (except online streaming)","Providing pay television, movie and other video on demand services (except per-pay-view), generally via fixed devices, except using online streaming. Subscribers or viewers to/of video on demand are allowed to choose and watch broadcasts at any time, usually for a one time fee paid for each individual video that is on demand (transactional video on demand). Video on demand services are delivered using traditional cable and satellite television.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Television, movie and video on demand services / Television, movie and video on demand (except online streaming)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234142,7234142,723414,"Online on demand streaming of television, movie and video","Providing pay television, movie and other video on demand services (except pay-per-view) over the Internet, via fixed or mobile devices, using online streaming. Subscribers or viewers to/of video on demand are allowed to choose and watch broadcasts at any time, usually for a monthly or annual subscription fee (subscription video on demand) to have unlimited access to television programs, movies and any other types of videos during the time covered by the subscription.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Television, movie and video on demand services / Online on demand streaming of television, movie and video",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234151,7234151,723415,Satellite radio services,Pay satellite radio services.,"Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Satellite radio and online audio streaming services / Satellite radio services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234152,7234152,723415,Online audio streaming services,"Providing programming services (including self-programming), over the Internet, that comprise a single payment (fee) or a subscription, to a selection of radio shows, music and other audio recordings, streamed to fixed and mobile devices (Internet audio services). Subscribers are allowed to choose and stream contents at any time during the time covered by the payment or subscription.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Satellite radio and online audio streaming services / Online audio streaming services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234161,7234161,723416,Online gaming services (except gambling),"Providing various games to be played online, on a subscription or single payment (fee) basis, except gambling. The games are streamed over the Internet to fixed and mobile devices.","Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Online gaming services (except gambling) / Online gaming services (except gambling)",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7234171,7234171,723417,Installation services for connections to broadcasting distribution networks,Providing installation of cables on the customer premises and/or installing outlets to connect to the program or broadcasting distribution networks.,"Telecommunications, broadcasting distribution and related services / Broadcasting and online games distribution services / Installation services for connections to broadcasting distribution networks / Installation services for connections to broadcasting distribution networks",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511111,7511111,751111,Website hosting services,Services of providing the infrastructure to host a customer's website and related files in a location that provides connection to the Internet or make their website accessible via the World Wide Web.,"Other information technology (IT) and information services / Data processing, hosting, and related services / Website hosting and domain name registration services / Website hosting services",ExternalProductDetail,BaseComparableOffer
CA_NAPCS_2022_7511112,7511112,751111,Domain names registration services,"Services of providing the registration of a domain name for a customer, by certified registrars and authorized resellers or affiliates.","Other information technology (IT) and information services / Data processing, hosting, and related services / Website hosting and domain name registration services / Domain names registration services",ExternalProductDetail,BaseComparableOffer
